,Provider,Latitude,Longitude,Altitude,Speed,Accuracy,(UTC)TimeInMs,seconds of week [s]
0,gps,37.426536,-122.175789,1.245148,0.0,3.216,1581800799000,594413.0
1,gps,37.426536999999996,-122.175789,1.26178,0.0,3.216,1581800800000,594414.0
2,gps,37.426536999999996,-122.175789,1.253906,0.0,3.216,1581800801000,594415.0
3,gps,37.426536999999996,-122.175789,1.25589,0.0,3.216,1581800802000,594416.0
4,gps,37.426536999999996,-122.175789,1.256592,0.0,3.216,1581800803000,594417.0
5,gps,37.426536999999996,-122.175789,1.254669,0.0,3.216,1581800804000,594418.0
6,gps,37.426536999999996,-122.175789,1.2546389999999998,0.0,3.216,1581800805000,594419.0
7,gps,37.426536999999996,-122.175789,1.253265,0.0,3.216,1581800806000,594420.0
8,gps,37.426536999999996,-122.175789,1.260681,0.0,3.216,1581800807000,594421.0
9,gps,37.426535,-122.17579099999999,1.568817,0.0,3.216,1581800808000,594422.0
10,gps,37.426536999999996,-122.175793,1.651123,0.0,3.216,1581800809000,594423.0
11,gps,37.426538,-122.17579199999999,2.277557,0.0,3.216,1581800810000,594424.0
12,gps,37.426541,-122.17579099999999,2.506287,0.0,3.216,1581800811000,594425.0
13,gps,37.426542,-122.17578999999999,2.661255,0.0,3.216,1581800812000,594426.0
14,gps,37.426547,-122.17578600000002,2.009155,0.0,3.216,1581800813000,594427.0
15,gps,37.426547,-122.175785,1.9468990000000002,0.21,3.216,1581800814000,594428.0
16,gps,37.426545000000004,-122.175785,1.9151919999999998,0.6,3.216,1581800815000,594429.0
17,gps,37.426536,-122.175789,1.9119259999999998,1.08,3.216,1581800816000,594430.0
18,gps,37.426524,-122.175793,3.250763,1.35,3.216,1581800817000,594431.0
19,gps,37.426511,-122.175794,2.90033,1.35,3.216,1581800818000,594432.0
20,gps,37.4265,-122.17579599999999,2.90387,1.17,3.216,1581800819000,594433.0
21,gps,37.426491,-122.175797,2.649506,1.02,3.216,1581800820000,594434.0
22,gps,37.426483000000005,-122.175799,2.751007,1.02,3.216,1581800821000,594435.0
23,gps,37.426475,-122.1758,2.826294,0.98,3.216,1581800822000,594436.0
24,gps,37.426464,-122.175803,2.947418,1.21,3.216,1581800823000,594437.0
25,gps,37.426452000000005,-122.17580900000002,2.929504,1.34,3.216,1581800824000,594438.0
26,gps,37.426441,-122.17581499999999,2.9963990000000003,1.31,3.216,1581800825000,594439.0
27,gps,37.426429999999996,-122.175821,3.178162,1.3,3.216,1581800826000,594440.0
28,gps,37.426418,-122.17582800000001,3.6480410000000005,1.42,3.216,1581800827000,594441.0
29,gps,37.426406,-122.17583300000001,3.8320309999999997,1.32,3.216,1581800828000,594442.0
30,gps,37.426396000000004,-122.17583799999998,3.796082,1.19,3.216,1581800829000,594443.0
31,gps,37.426387,-122.175843,3.5778809999999996,1.18,3.216,1581800830000,594444.0
32,gps,37.426378,-122.175848,3.8037410000000005,1.12,3.216,1581800831000,594445.0
33,gps,37.426369,-122.175854,3.571228,1.2,3.216,1581800832000,594446.0
34,gps,37.426359000000005,-122.17586200000001,3.72168,1.21,3.216,1581800833000,594447.0
35,gps,37.42635,-122.175868,3.324524,1.2,3.216,1581800834000,594448.0
36,gps,37.42634,-122.175874,3.216309,1.25,3.216,1581800835000,594449.0
37,gps,37.426331,-122.17588,3.228973,1.11,3.216,1581800836000,594450.0
38,gps,37.426323,-122.17588400000001,2.943695,0.91,3.216,1581800837000,594451.0
39,gps,37.426318,-122.17588700000002,3.005157,0.59,3.216,1581800838000,594452.0
40,gps,37.426317,-122.17588700000002,2.707001,0.0,3.216,1581800839000,594453.0
41,gps,37.426318,-122.175886,2.504089,0.0,3.216,1581800840000,594454.0
42,gps,37.426318,-122.175886,2.343964,0.0,3.216,1581800841000,594455.0
43,gps,37.426318,-122.17588700000002,2.841888,0.0,3.216,1581800842000,594456.0
44,gps,37.426319,-122.17588700000002,2.710571,0.0,3.216,1581800843000,594457.0
45,gps,37.426316,-122.175875,2.364716,1.17,3.216,1581800844000,594458.0
46,gps,37.426313,-122.17586200000001,2.33493,1.01,3.216,1581800845000,594459.0
47,gps,37.426311,-122.17585,2.307617,0.87,3.216,1581800846000,594460.0
48,gps,37.426308,-122.17584199999999,2.416962,0.69,3.216,1581800847000,594461.0
49,gps,37.426305,-122.175832,2.482269,0.7,3.216,1581800848000,594462.0
50,gps,37.426303000000004,-122.175825,2.1421509999999997,0.58,3.216,1581800849000,594463.0
51,gps,37.4263,-122.17582,2.134186,0.48,3.216,1581800850000,594464.0
52,gps,37.426297,-122.17581799999999,2.15509,0.39,3.216,1581800851000,594465.0
53,gps,37.426294,-122.17581499999999,1.2432860000000001,0.53,3.216,1581800852000,594466.0
54,gps,37.42629,-122.175808,1.308868,0.92,3.216,1581800853000,594467.0
55,gps,37.426288,-122.175799,1.283539,0.87,3.216,1581800854000,594468.0
56,gps,37.426286,-122.17578999999999,1.62439,0.88,3.216,1581800855000,594469.0
57,gps,37.426285,-122.175781,1.484314,0.86,3.216,1581800856000,594470.0
58,gps,37.426283000000005,-122.17577299999999,1.024841,0.85,3.216,1581800857000,594471.0
59,gps,37.426281,-122.17576399999999,1.011627,0.97,3.216,1581800858000,594472.0
60,gps,37.426278,-122.175753,0.813507,1.06,3.216,1581800859000,594473.0
61,gps,37.426275,-122.175742,0.884186,1.02,3.216,1581800860000,594474.0
62,gps,37.426272,-122.17573,1.194489,1.1,3.216,1581800861000,594475.0
63,gps,37.426269,-122.175719,1.365509,1.01,3.216,1581800862000,594476.0
64,gps,37.426266999999996,-122.17570900000001,1.550964,0.91,3.216,1581800863000,594477.0
65,gps,37.426265,-122.175699,1.7055049999999998,1.03,3.216,1581800864000,594478.0
66,gps,37.426263,-122.17568600000001,1.8025209999999998,1.12,3.216,1581800865000,594479.0
67,gps,37.42626,-122.175671,1.755371,1.35,3.216,1581800866000,594480.0
68,gps,37.426258000000004,-122.17566000000001,1.769714,0.97,3.216,1581800867000,594481.0
69,gps,37.426255,-122.175648,1.9422,1.07,3.216,1581800868000,594482.0
70,gps,37.426253,-122.17563700000001,1.555939,1.15,3.216,1581800869000,594483.0
71,gps,37.42625,-122.175626,1.1244809999999998,1.1,3.216,1581800870000,594484.0
72,gps,37.426247,-122.17561599999999,1.3844299999999998,0.93,3.216,1581800871000,594485.0
73,gps,37.426245,-122.175606,1.454742,0.88,3.216,1581800872000,594486.0
74,gps,37.426241999999995,-122.175597,1.465271,0.79,3.216,1581800873000,594487.0
75,gps,37.426241,-122.17558799999999,1.606354,0.8,3.216,1581800874000,594488.0
76,gps,37.42624,-122.17558100000001,1.803467,0.63,3.216,1581800875000,594489.0
77,gps,37.426241999999995,-122.17558000000001,2.016205,0.0,3.216,1581800876000,594490.0
78,gps,37.426241999999995,-122.17558000000001,2.347382,0.0,3.216,1581800877000,594491.0
79,gps,37.426245,-122.17558000000001,2.571899,0.27,3.216,1581800878000,594492.0
80,gps,37.426246,-122.175582,2.3775020000000002,0.0,3.216,1581800879000,594493.0
81,gps,37.426244,-122.17558400000001,2.325806,0.0,3.216,1581800880000,594494.0
82,gps,37.426251,-122.17558000000001,2.53595,0.74,3.216,1581800881000,594495.0
83,gps,37.426262,-122.175573,3.046722,1.47,3.216,1581800882000,594496.0
84,gps,37.426272999999995,-122.17556699999999,2.961761,1.43,3.216,1581800883000,594497.0
85,gps,37.426285,-122.17556,2.841736,1.23,3.216,1581800884000,594498.0
86,gps,37.426296,-122.175554,3.010132,1.24,3.216,1581800885000,594499.0
87,gps,37.426305,-122.175549,2.976532,1.07,3.216,1581800886000,594500.0
88,gps,37.426314,-122.17554299999999,3.249939,1.08,3.216,1581800887000,594501.0
89,gps,37.426323,-122.17553799999999,3.3339230000000004,1.15,3.216,1581800888000,594502.0
90,gps,37.426332,-122.175532,2.979004,1.31,3.216,1581800889000,594503.0
91,gps,37.426343,-122.175526,2.712341,1.36,3.216,1581800890000,594504.0
92,gps,37.426353999999996,-122.175522,2.564606,1.38,3.216,1581800891000,594505.0
93,gps,37.426364,-122.175517,2.763092,1.2,3.216,1581800892000,594506.0
94,gps,37.426373999999996,-122.17551399999999,2.687927,1.27,3.216,1581800893000,594507.0
95,gps,37.426384000000006,-122.17551,2.7948,1.31,3.216,1581800894000,594508.0
96,gps,37.426395,-122.175506,2.545074,1.3,3.216,1581800895000,594509.0
97,gps,37.426406,-122.175501,2.358276,1.28,3.216,1581800896000,594510.0
98,gps,37.426415999999996,-122.175497,2.406342,1.23,3.216,1581800897000,594511.0
99,gps,37.426429,-122.175494,2.092468,1.39,3.216,1581800898000,594512.0
100,gps,37.426442,-122.17548899999998,2.0328060000000003,1.39,3.216,1581800899000,594513.0
101,gps,37.42645,-122.175486,2.275513,0.87,3.216,1581800900000,594514.0
102,gps,37.426452000000005,-122.17548400000001,2.151184,0.0,3.216,1581800901000,594515.0
103,gps,37.426452000000005,-122.17548300000001,2.00589,0.0,3.216,1581800902000,594516.0
104,gps,37.426451,-122.175482,1.8751220000000002,0.0,3.216,1581800903000,594517.0
105,gps,37.426452000000005,-122.17548300000001,2.188629,0.0,3.216,1581800904000,594518.0
106,gps,37.426451,-122.17548500000001,1.8927,0.19,3.216,1581800905000,594519.0
107,gps,37.426451,-122.17548700000002,2.030304,0.27,3.216,1581800906000,594520.0
108,gps,37.426453,-122.17548899999998,1.419922,0.29,3.216,1581800907000,594521.0
109,gps,37.426456,-122.175491,1.071808,0.6,3.216,1581800908000,594522.0
110,gps,37.426458000000004,-122.175495,1.034668,0.68,3.216,1581800909000,594523.0
111,gps,37.426463,-122.1755,1.254211,1.06,3.216,1581800910000,594524.0
112,gps,37.426468,-122.17550800000001,1.145569,1.17,3.216,1581800911000,594525.0
113,gps,37.426474,-122.175518,1.236572,1.24,3.216,1581800912000,594526.0
114,gps,37.426481,-122.17553000000001,1.41687,1.46,3.216,1581800913000,594527.0
115,gps,37.42648,-122.17554299999999,1.2920530000000001,0.0,3.216,1581800914000,594528.0
116,gps,37.426485,-122.175552,1.6744689999999998,1.06,3.216,1581800915000,594529.0
117,gps,37.426486,-122.17556,2.079895,0.23,3.216,1581800916000,594530.0
118,gps,37.426487,-122.17556499999999,2.605957,0.16,3.216,1581800917000,594531.0
119,gps,37.426495,-122.175572,3.4513849999999997,1.36,3.216,1581800918000,594532.0
120,gps,37.426504,-122.175582,4.048523,1.41,3.216,1581800919000,594533.0
121,gps,37.426507,-122.175595,4.307251,1.07,3.216,1581800920000,594534.0
122,gps,37.426512,-122.17560900000001,4.492889,1.31,3.216,1581800921000,594535.0
123,gps,37.426514000000005,-122.175623,4.676758,0.0,3.216,1581800922000,594536.0
124,gps,37.426517,-122.17563799999999,4.9815059999999995,0.17,3.216,1581800923000,594537.0
125,gps,37.426520000000004,-122.17565400000001,4.575928,0.0,3.216,1581800924000,594538.0
126,gps,37.426519,-122.17566799999999,5.018585,0.37,3.216,1581800925000,594539.0
127,gps,37.426526,-122.175683,4.5132449999999995,0.25,3.216,1581800926000,594540.0
128,gps,37.426533,-122.175703,4.687225,0.28,3.216,1581800927000,594541.0
129,gps,37.426536999999996,-122.175721,5.382599,0.32,3.216,1581800928000,594542.0
130,gps,37.426536,-122.17573600000001,5.052551,0.18,3.216,1581800929000,594543.0
131,gps,37.426539,-122.17574499999999,4.982819,0.46,3.216,1581800930000,594544.0
132,gps,37.426546,-122.175751,4.538391000000001,0.91,3.216,1581800931000,594545.0
133,gps,37.426549,-122.175754,4.42392,0.25,3.216,1581800932000,594546.0
134,gps,37.426548,-122.175756,4.058441,0.0,3.216,1581800933000,594547.0
135,gps,37.426545000000004,-122.175757,3.635498,0.0,3.216,1581800934000,594548.0
136,gps,37.426543,-122.17575500000001,3.422211,0.0,3.216,1581800935000,594549.0
137,gps,37.426543,-122.175757,3.4967040000000003,0.2,3.216,1581800936000,594550.0
138,gps,37.426545000000004,-122.175756,3.671356,0.0,3.216,1581800937000,594551.0
139,gps,37.426545000000004,-122.175758,3.453674,0.0,3.216,1581800938000,594552.0
140,gps,37.426545000000004,-122.17575900000001,3.4456480000000003,0.0,3.216,1581800939000,594553.0
141,gps,37.426546,-122.17576499999998,3.3052370000000004,0.0,3.216,1581800940000,594554.0
142,gps,37.426546,-122.175766,3.369446,0.0,3.216,1581800941000,594555.0
143,gps,37.426546,-122.175767,3.371033,0.0,3.216,1581800942000,594556.0
144,gps,37.426546,-122.175767,3.531036,0.0,3.216,1581800943000,594557.0
